Timestamp,Document Number,Vendor Name,Bill Reference,Status,Message,Row Number
2025-05-06 20:53:39,BCADV6803001,ค่าใช้จ่ายค้างจ่าย,PTPT00045199,Success,Bill created but payable account update failed,37
2025-05-06 20:53:40,BCADV6803001,ค่าใช้จ่ายค้างจ่าย,PTPT00045198,Success,Bill created but payable account update failed,38
2025-05-06 20:53:42,BCADV6803004,ค่าใช้จ่ายค้างจ่าย,PTPT00045262,Success,Bill created but payable account update failed,53
2025-05-06 20:53:44,BCADV6803005,ค่าใช้จ่ายค้างจ่าย,PTPT00045434,Success,Bill created but payable account update failed,49
2025-05-06 20:53:46,BCADV6803009,ค่าใช้จ่ายค้างจ่าย,PTPT00045443,Success,Bill created but payable account update failed,677
2025-05-06 20:53:47,BOEP6708018,บริษัท ไอดอล ซิสเท่ม จำกัด (สำนักงานใหญ่),PRPR00042442,Success,Bill created but payable account update failed,581
