Timestamp,Document Number,Vendor Name,Bill Reference,Status,Message,Row Number
2025-05-08 09:51:24,BMG-680201,บริษัท เจอร์เมเนียม จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,21
2025-05-08 09:51:25,MG-6404001,บริษัทเอ อาร์ อี สเปซ จำกัด  (สำนักงานใหญ่),,Success,Successfully processed and updated credit account,2
2025-05-08 09:51:26,MG-6410005,บริษัทตา โปรดักชั่น จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,3
2025-05-08 09:51:27,MG-6504005,บริษัท อิเมจิ้น ครีเอชั่น จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,4
2025-05-08 09:51:28,MG-6505002,บริษัท เมซอง การ์เด้น จำกัด  สำนักงานใหญ่,,Success,Successfully processed and updated credit account,5
2025-05-08 09:51:28,MG-6506001,บริษัท วนาวรรณวิลล่า จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,6
2025-05-08 09:51:30,MG-6611016,บริษัท ทรานส์คอน 2017 จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,7
2025-05-08 09:51:30,MG-6612012,คุณภัทร คชภักดี,,Success,Successfully processed and updated credit account,8
2025-05-08 09:51:31,MG-6705009,บริษัท ซี.ซี.ดับบลิว จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,18
2025-05-08 09:51:32,MG-6708004,บริษัท อิเมจิ้น ครีเอชั่น จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,9
2025-05-08 09:51:33,MG-6711001,บริษัท เพอร์เฟ็ค อีควิปเม้นท์ จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,10
2025-05-08 09:51:34,MG-6711006,บริษัท กราวิตี้อาร์คิเทค จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,11
2025-05-08 09:51:36,MG-6711014,บริษัท บ้านศิวา จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,12
2025-05-08 09:51:37,MG-6711017,บริษัท วีว่า เวลเนส จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,13
2025-05-08 09:51:38,MG-6711018,บริษัท กู๊ดสเปซ 2019 จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,14
2025-05-08 09:51:39,MG-6711019,คุณลักษณ์คณา แพ่งนคร,,Success,Successfully processed and updated credit account,15
2025-05-08 09:51:40,MG-6712003,บริษัท ชาน เอสเตท วัน จำกัด สำนักงานใหญ่,,Success,Successfully processed and updated credit account,16
