2025-11-22 21:27:05,684 - INFO - Log file created: Varify_partner/logs/partner_verify_20251122_212705.log
2025-11-22 21:27:06,834 - INFO - Successfully connected to Odoo as user ID: 2
2025-11-22 21:27:06,993 - INFO - Starting verification from index 0
2025-11-22 21:27:06,993 - INFO - Total records to process: 2591
2025-11-22 21:27:06,993 - INFO - Processing batch 0-100 of 2591
2025-11-22 21:27:07,237 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00469
2025-11-22 21:27:07,381 - INFO - Partner found by partner_code: C00469 - ID: 3717, Name: บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด
2025-11-22 21:27:07,381 - INFO - Partner found: C00469 - ID: 3717, Name: บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด
2025-11-22 21:27:07,645 - INFO - Partner found by old_code_partner: CRC008 - ID: 3718, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาภูเก็ต 1)
2025-11-22 21:27:07,645 - INFO - Partner found: CRC008 - ID: 3718, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาภูเก็ต 1)
2025-11-22 21:27:07,912 - INFO - Partner found by old_code_partner: CRC044 - ID: 3720, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาภูเก็ต)
2025-11-22 21:27:07,913 - INFO - Partner found: CRC044 - ID: 3720, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาภูเก็ต)
2025-11-22 21:27:08,232 - INFO - Partner found by old_code_partner: CRC044 - ID: 3720, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาภูเก็ต)
2025-11-22 21:27:08,232 - INFO - Partner found: CRC044 - ID: 3720, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาภูเก็ต)
2025-11-22 21:27:08,613 - INFO - Partner not found in old_code_partner, searching in partner_code field: V01264
2025-11-22 21:27:08,802 - INFO - Partner found by partner_code: V01264 - ID: 1903, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด
2025-11-22 21:27:08,802 - INFO - Partner found: V01264 - ID: 1903, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด
2025-11-22 21:27:09,097 - INFO - Partner not found in old_code_partner, searching in partner_code field: V01264
2025-11-22 21:27:09,218 - INFO - Partner found by partner_code: V01264 - ID: 1903, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด
2025-11-22 21:27:09,219 - INFO - Partner found: V01264 - ID: 1903, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด
2025-11-22 21:27:09,509 - INFO - Partner not found in old_code_partner, searching in partner_code field: V01264
2025-11-22 21:27:09,632 - INFO - Partner found by partner_code: V01264 - ID: 1903, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด
2025-11-22 21:27:09,633 - INFO - Partner found: V01264 - ID: 1903, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด
2025-11-22 21:27:09,915 - INFO - Partner found by old_code_partner: CRC014 - ID: 3721, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาลำปาง)
2025-11-22 21:27:09,915 - INFO - Partner found: CRC014 - ID: 3721, Name: บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาลำปาง)
2025-11-22 21:27:10,181 - INFO - Partner found by old_code_partner: CRC003 - ID: 3722, Name: บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด
2025-11-22 21:27:10,181 - INFO - Partner found: CRC003 - ID: 3722, Name: บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด
2025-11-22 21:27:10,549 - INFO - Partner found by old_code_partner: CRC002 - ID: 3717, Name: บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด
2025-11-22 21:27:10,549 - INFO - Partner found: CRC002 - ID: 3717, Name: บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด
2025-11-22 21:27:10,857 - INFO - Partner found by old_code_partner: CRC010 - ID: 3723, Name: บริษัท ซีอาร์ซี เพาเวอร์รีเทล จำกัด
