2025-11-23 15:04:48,258 - INFO - Log file created: Varify_partner/logs/partner_verify_20251123_150448.log
2025-11-23 15:04:51,209 - INFO - Successfully connected to Odoo as user ID: 2
2025-11-23 15:04:51,376 - INFO - Starting verification from index 0
2025-11-23 15:04:51,376 - INFO - Total records to process: 2585
2025-11-23 15:04:51,376 - INFO - Processing batch 0-100 of 2585
2025-11-23 15:04:55,100 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00225
2025-11-23 15:04:56,125 - INFO - Partner found by partner_code: C00225 - ID: 434, Name: บริษัท พรเจริญก่อสร้าง จำกัด
2025-11-23 15:04:56,125 - INFO - Partner found: C00225 - ID: 434, Name: บริษัท พรเจริญก่อสร้าง จำกัด
2025-11-23 15:04:56,374 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00093
2025-11-23 15:04:57,456 - INFO - Partner found by partner_code: C00093 - ID: 301, Name: บริษัท กรีธา แอนด์ แอสโซซิเอทส์ จำกัด
2025-11-23 15:04:57,457 - INFO - Partner found: C00093 - ID: 301, Name: บริษัท กรีธา แอนด์ แอสโซซิเอทส์ จำกัด
2025-11-23 15:04:57,865 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00093
2025-11-23 15:04:57,981 - INFO - Partner found by partner_code: C00093 - ID: 301, Name: บริษัท กรีธา แอนด์ แอสโซซิเอทส์ จำกัด
2025-11-23 15:04:57,981 - INFO - Partner found: C00093 - ID: 301, Name: บริษัท กรีธา แอนด์ แอสโซซิเอทส์ จำกัด
2025-11-23 15:04:59,132 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00319
2025-11-23 15:04:59,324 - INFO - Partner found by partner_code: C00319 - ID: 528, Name: บริษัท สหย่งเงี๊ยบพัฒนา จำกัด
2025-11-23 15:04:59,324 - INFO - Partner found: C00319 - ID: 528, Name: บริษัท สหย่งเงี๊ยบพัฒนา จำกัด
2025-11-23 15:04:59,731 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00440
2025-11-23 15:04:59,896 - INFO - Partner found by partner_code: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:04:59,897 - INFO - Partner found: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:05:00,271 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00440
2025-11-23 15:05:00,465 - INFO - Partner found by partner_code: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:05:00,465 - INFO - Partner found: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:05:00,825 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00440
2025-11-23 15:05:01,060 - INFO - Partner found by partner_code: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:05:01,060 - INFO - Partner found: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:05:01,506 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00440
2025-11-23 15:05:01,738 - INFO - Partner found by partner_code: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:05:01,739 - INFO - Partner found: C00440 - ID: 2169, Name: บริษัท ทวีพรเทคโนโลยี จำกัด
2025-11-23 15:05:02,076 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00132
2025-11-23 15:05:02,273 - INFO - Partner found by partner_code: C00132 - ID: 340, Name: บริษัท ชลหทัย ก่อสร้าง (2020) จำกัด
2025-11-23 15:05:02,274 - INFO - Partner found: C00132 - ID: 340, Name: บริษัท ชลหทัย ก่อสร้าง (2020) จำกัด
2025-11-23 15:05:02,585 - INFO - Partner not found in old_code_partner, searching in partner_code field: C00093
2025-11-23 15:05:02,716 - INFO - Partner found by partner_code: C00093 - ID: 301, Name: บริษัท กรีธา แอนด์ แอสโซซิเอทส์ จำกัด
