2025-11-22 13:52:46,420 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: GBH002
2025-11-22 13:52:46,762 - INFO - Partner not found in old_code_partner, searching in partner_code field: GBH002
2025-11-22 13:52:46,933 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: GBH002
2025-11-22 13:52:47,282 - INFO - Partner not found in old_code_partner, searching in partner_code field: CBY001
2025-11-22 13:52:47,455 - WARNING - Partner NOT found in both old_code_partner and partner_code fields: CBY001
2025-11-22 13:52:47,792 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:47,792 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,140 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,141 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,424 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,424 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,694 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,695 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,937 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:48,937 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:49,166 - INFO - Partner found by old_code_partner: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:49,166 - INFO - Partner found: DOHUD01 - ID: 229, Name: บริษัท ดูโฮม จำกัด (มหาชน)
2025-11-22 13:52:49,446 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:49,446 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:49,850 - INFO - Partner found by old_code_partner: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
2025-11-22 13:52:49,850 - INFO - Partner found: YUY001 - ID: 1377, Name: บริษัท ยุ่ยล้ง โฮมเอ็กซ์เพิร์ท จำกัด
